region_code,region_name
101010,서울 강남구
101020,서울 강동구
101030,서울 강북구
101040,서울 강서구
101050,서울 관악구
101060,서울 광진구
101070,서울 구로구
101080,서울 금천구
101090,서울 노원구
101100,서울 도봉구
101110,서울 동대문구
101120,서울 동작구
101130,서울 마포구
101140,서울 서대문구
101150,서울 서초구
101160,서울 성동구
101170,서울 성북구
101180,서울 송파구
101190,서울 양천구
101200,서울 영등포구
101210,서울 용산구
101220,서울 은평구
101230,서울 종로구
101240,서울 중구
101250,서울 중랑구
102010,경기 가평군
102030,경기 고양시 덕양구
102040,경기 고양시 일산동구
102050,경기 고양시 일산서구
102060,경기 과천시
102070,경기 광명시
102080,경기 광주시
102090,경기 구리시
102100,경기 군포시
102110,경기 김포시
102120,경기 남양주시
102130,경기 동두천시
102150,경기 부천시 소사구
102160,경기 부천시 오정구
102170,경기 부천시 원미구
102190,경기 성남시 분당구
102200,경기 성남시 수정구
102210,경기 성남시 중원구
102230,경기 수원시 권선구
102240,경기 수원시 영통구
102250,경기 수원시 장안구
102260,경기 수원시 팔달구
102270,경기 시흥시
102290,경기 안산시 단원구
102300,경기 안산시 상록구
102310,경기 안성시
102330,경기 안양시 동안구
102340,경기 안양시 만안구
102350,경기 양주시
102360,경기 양평군
102370,경기 여주시
102380,경기 연천군
102390,경기 오산시
102410,경기 용인시 기흥구
102420,경기 용인시 수지구
102430,경기 용인시 처인구
102440,경기 의왕시
102450,경기 의정부시
102460,경기 이천시
102470,경기 파주시
102480,경기 평택시
102490,경기 포천시
102500,경기 하남시
102510,경기 화성시
103010,광주 광산구
103020,광주 남구
103030,광주 동구
103040,광주 북구
103050,광주 서구
104010,대구 남구
104020,대구 달서구
104030,대구 달성군
104040,대구 동구
104050,대구 북구
104060,대구 서구
104070,대구 수성구
104080,대구 중구
104090,대구 군위군
105010,대전 대덕구
105020,대전 동구
105030,대전 서구
105040,대전 유성구
105050,대전 중구
106010,부산 강서구
106020,부산 금정구
106030,부산 기장군
106040,부산 남구
106050,부산 동구
106060,부산 동래구
106070,부산 부산진구
106080,부산 북구
106090,부산 사상구
106100,부산 사하구
106110,부산 서구
106120,부산 수영구
106130,부산 연제구
106140,부산 영도구
106150,부산 중구
106160,부산 해운대구
107010,울산 남구
107020,울산 동구
107030,울산 북구
107040,울산 울주군
107050,울산 중구
108010,인천 강화군
108020,인천 계양구
108030,인천 미추홀구
108040,인천 남동구
108050,인천 동구
108060,인천 부평구
108070,인천 서구
108080,인천 연수구
108090,인천 옹진군
108100,인천 중구
109010,강원 강릉시
109020,강원 고성군
109030,강원 동해시
109040,강원 삼척시
109050,강원 속초시
109060,강원 양구군
109070,강원 양양군
109080,강원 영월군
109090,강원 원주시
109100,강원 인제군
109110,강원 정선군
109120,강원 철원군
109130,강원 춘천시
109140,강원 태백시
109150,강원 평창군
109160,강원 홍천군
109170,강원 화천군
109180,강원 횡성군
110010,경남 거제시
110020,경남 거창군
110030,경남 고성군
110040,경남 김해시
110050,경남 남해군
110053,경남 창원시 마산회원구
110055,경남 창원시 마산합포구
110057,경남 창원시 성산구
110059,경남 창원시 의창구
110070,경남 밀양시
110080,경남 사천시
110090,경남 산청군
110100,경남 양산시
110110,경남 의령군
110120,경남 진주시
110130,경남 창원시 진해구
110140,경남 창녕군
110160,경남 통영시
110170,경남 하동군
110180,경남 함안군
110190,경남 함양군
110200,경남 합천군
111010,경북 경산시
111020,경북 경주시
111030,경북 고령군
111040,경북 구미시
111050,경북 군위군
111060,경북 김천시
111070,경북 문경시
111080,경북 봉화군
111090,경북 상주시
111100,경북 성주군
111110,경북 안동시
111120,경북 영덕군
111130,경북 영양군
111140,경북 영주시
111150,경북 영천시
111160,경북 예천군
111170,경북 울릉군
111180,경북 울진군
111190,경북 의성군
111200,경북 청도군
111210,경북 청송군
111220,경북 칠곡군
111240,경북 포항시 남구
111250,경북 포항시 북구
112010,전남 강진군
112020,전남 고흥군
112030,전남 곡성군
112040,전남 광양시
112050,전남 구례군
112060,전남 나주시
112070,전남 담양군
112080,전남 목포시
112090,전남 무안군
112100,전남 보성군
112110,전남 순천시
112120,전남 신안군
112130,전남 여수시
112140,전남 영광군
112150,전남 영암군
112160,전남 완도군
112170,전남 장성군
112180,전남 장흥군
112190,전남 진도군
112200,전남 함평군
112210,전남 해남군
112220,전남 화순군
113010,전북 고창군
113020,전북 군산시
113030,전북 김제시
113040,전북 남원시
113050,전북 무주군
113060,전북 부안군
113070,전북 순창군
113080,전북 완주군
113090,전북 익산시
113100,전북 임실군
113110,전북 장수군
113130,전북 전주시 덕진구
113140,전북 전주시 완산구
113150,전북 정읍시
113160,전북 진안군
114010,충북 괴산군
114020,충북 단양군
114030,충북 보은군
114040,충북 영동군
114050,충북 옥천군
114060,충북 음성군
114070,충북 제천시
114080,충북 증평군
114090,충북 진천군
114100,충북 청원군
114120,충북 청주시 상당구
114130,충북 청주시 흥덕구
114150,충북 청주시 청원구
114160,충북 청주시 서원구
115010,충남 계룡시
115020,충남 공주시
115030,충남 금산군
115040,충남 논산시
115050,충남 당진시
115060,충남 보령시
115070,충남 부여군
115080,충남 서산시
115090,충남 서천군
115100,충남 아산시
115110,충남 연기군
115120,충남 예산군
115133,충남 천안시 동남구
115135,충남 천안시 서북구
115140,충남 청양군
115150,충남 태안군
115160,충남 홍성군
116030,제주 서귀포시
116040,제주 제주시
118000,세종 세종
